delay_us,mean,spread,ntags,p0,p1,p2,p3,p4,p5,p6,p7
710.0,173.74,0.67,8,173.5,174.0,173.33,173.33,173.75,174.0,174.0,174.0
715.0,173.69,1.0,8,174.0,173.5,173.5,173.0,173.5,174.0,174.0,174.0
720.0,173.78,0.5,8,174.0,173.5,173.75,173.5,173.5,174.0,174.0,174.0
725.0,173.71,1.0,8,174.0,173.67,173.25,173.0,173.75,174.0,174.0,174.0
730.0,173.75,1.0,8,174.0,174.0,173.5,173.0,173.5,174.0,174.0,174.0
735.0,173.82,0.67,8,174.0,174.0,174.0,173.6,173.33,173.67,174.0,174.0
740.0,173.74,1.0,8,174.0,173.5,174.0,173.0,173.4,174.0,174.0,174.0
745.0,173.66,1.0,8,174.0,173.75,173.0,173.5,173.0,174.0,174.0,174.0
750.0,173.75,0.5,8,173.75,173.75,173.5,173.5,173.5,174.0,174.0,174.0
755.0,173.75,1.0,8,174.0,174.0,173.0,173.5,173.5,174.0,174.0,174.0
760.0,173.69,1.0,8,174.0,173.75,173.75,173.5,173.5,173.0,174.0,174.0
765.0,173.75,1.0,8,174.0,173.5,174.0,173.0,173.5,174.0,174.0,174.0
770.0,173.8,0.75,8,174.0,174.0,173.5,173.25,173.67,174.0,174.0,174.0
775.0,173.69,1.0,8,174.0,174.0,173.5,173.0,173.0,174.0,174.0,174.0
780.0,173.81,0.75,8,174.0,174.0,173.75,173.25,173.5,174.0,174.0,174.0
785.0,173.75,0.75,8,173.89,174.0,173.33,173.25,173.5,174.0,174.0,174.0
790.0,173.69,1.0,8,174.0,174.0,173.0,173.0,173.5,174.0,174.0,174.0
795.0,173.75,1.0,8,174.0,173.5,173.8,173.67,173.0,174.0,174.0,174.0
800.0,173.71,0.67,8,174.0,173.5,173.5,173.33,173.33,174.0,174.0,174.0
805.0,173.76,0.67,8,174.0,173.75,173.5,173.33,173.5,174.0,174.0,174.0
810.0,173.73,1.33,8,174.0,173.5,173.5,173.0,173.5,174.0,174.33,174.0
815.0,173.69,1.0,8,174.0,173.5,174.0,173.0,173.0,174.0,174.0,174.0
820.0,173.65,1.0,8,173.67,173.5,173.5,173.0,173.5,174.0,174.0,174.0
825.0,173.88,0.5,8,174.0,173.5,174.0,173.5,174.0,174.0,174.0,174.0
830.0,173.76,0.67,8,174.0,173.75,173.33,173.5,173.5,174.0,174.0,174.0
835.0,173.72,1.0,8,174.0,173.75,173.0,173.0,174.0,174.0,174.0,174.0
840.0,173.81,1.0,8,174.0,174.0,174.0,173.0,174.0,173.5,174.0,174.0
845.0,173.66,1.0,8,174.0,173.5,173.25,173.0,173.5,174.0,174.0,174.0
850.0,173.69,1.0,8,174.0,173.5,173.0,173.5,173.5,174.0,174.0,174.0
855.0,173.85,0.5,8,174.0,174.0,173.75,173.5,173.75,174.0,174.0,173.8
860.0,173.53,1.0,8,173.75,173.0,173.5,173.0,173.5,173.5,174.0,174.0
865.0,173.7,1.0,8,174.0,173.75,173.33,173.0,173.5,174.0,174.0,174.0
870.0,173.7,1.0,8,174.0,173.75,173.33,173.0,173.5,174.0,174.0,174.0
875.0,173.72,0.5,8,174.0,173.5,173.67,173.5,173.62,173.5,174.0,174.0
880.0,173.62,1.0,8,173.5,173.5,173.0,173.0,174.0,174.0,174.0,174.0
885.0,173.65,1.0,8,174.0,173.75,173.25,173.33,173.0,173.89,174.0,174.0
890.0,173.81,1.0,8,174.0,174.0,173.5,173.0,174.0,174.0,174.0,174.0
895.0,173.73,0.5,8,174.0,173.5,173.5,173.67,173.5,173.67,174.0,174.0
