delay_us,mean,spread,ntags,p0,p1,p2,p3,p4,p5,p6,p7
535.0,160.5,1.0,8,160.67,160.33,160.25,160.0,160.5,161.0,160.5,160.75
540.0,160.42,1.0,8,160.67,160.67,160.0,160.0,160.0,160.5,160.5,161.0
545.0,160.19,0.75,8,160.33,160.0,160.0,160.14,160.0,160.75,160.33,160.0
550.0,160.29,0.75,8,160.25,160.25,160.0,160.0,160.25,160.33,160.75,160.5
555.0,160.29,1.0,8,160.5,161.0,160.0,160.0,160.0,160.33,160.5,160.0
560.0,160.18,0.67,8,160.67,160.25,160.0,160.0,160.0,160.0,160.0,160.5
565.0,160.19,1.0,8,161.0,160.0,160.0,160.0,160.0,160.5,160.0,160.0
570.0,162.57,2.25,8,163.0,162.67,162.67,162.5,163.25,162.75,162.75,161.0
575.0,194.6,9.17,8,196.5,188.33,196.5,197.5,194.0,191.0,196.5,196.5
580.0,236.33,17.5,8,236.0,240.0,229.62,230.0,229.5,243.25,247.0,235.25
585.0,245.12,16.75,8,245.75,241.5,238.29,238.0,241.33,250.33,254.75,251.0
590.0,248.51,17.67,8,249.5,246.0,241.75,240.33,246.0,253.5,258.0,253.0
595.0,249.12,18.5,8,248.25,247.0,243.5,242.0,240.5,258.5,259.0,254.25
600.0,249.68,19.4,8,249.5,246.0,243.5,241.0,246.0,260.4,257.0,254.0
605.0,249.14,17.24,8,249.5,246.0,243.5,241.33,245.67,254.33,258.57,254.25
610.0,249.36,18.75,8,249.0,246.67,243.75,241.75,245.75,256.0,260.5,251.43
615.0,249.25,18.5,8,248.5,245.0,244.0,241.0,247.0,255.5,259.5,253.5
620.0,249.68,16.25,8,249.5,245.83,244.33,242.75,246.25,255.75,259.0,254.0
625.0,249.48,17.0,8,249.5,245.67,244.67,241.5,246.0,255.5,258.5,254.5
630.0,250.04,16.17,8,249.0,247.25,244.0,242.5,249.5,254.67,258.67,254.75
635.0,250.62,17.5,8,250.0,247.0,243.5,243.0,252.0,255.0,260.5,254.0
640.0,250.05,17.65,8,248.75,247.33,242.5,241.75,246.0,259.4,259.33,255.33
645.0,250.0,17.0,8,249.0,246.5,243.5,242.0,246.0,258.0,259.0,256.0
650.0,249.98,18.83,8,249.67,245.44,243.25,241.5,248.33,256.0,260.33,255.33
655.0,249.49,17.0,8,249.0,249.5,242.25,242.0,246.25,255.25,259.0,252.67
660.0,249.07,18.5,8,249.5,247.5,241.6,240.5,245.5,255.0,259.0,254.0
665.0,248.96,18.58,8,247.5,246.67,244.5,240.67,245.75,255.0,259.25,252.33
670.0,248.69,19.5,8,248.0,247.0,242.0,239.5,246.0,255.0,259.0,253.0
675.0,248.75,19.5,8,248.0,244.5,243.67,238.5,248.33,255.0,258.0,254.0
680.0,249.38,20.33,8,249.25,245.75,242.75,239.0,250.29,253.0,259.33,255.67
685.0,248.8,18.17,8,248.0,246.0,242.0,240.5,248.2,253.0,258.67,254.0
690.0,248.24,18.0,8,248.22,244.75,241.75,240.33,244.5,252.67,258.33,255.33
695.0,248.33,19.58,8,248.5,244.29,242.0,238.75,245.25,254.5,258.33,255.0
700.0,247.82,18.67,8,247.0,243.4,242.33,239.67,243.67,255.4,258.33,252.75
705.0,247.9,20.0,8,247.5,244.5,242.67,239.0,245.0,253.0,259.0,252.5
710.0,247.77,18.75,8,248.75,245.25,241.0,240.5,239.0,256.88,257.75,253.0
715.0,248.78,17.75,8,247.0,246.5,242.0,240.5,244.0,258.25,258.0,254.0
720.0,248.43,19.58,8,248.67,246.75,240.75,238.75,246.33,253.5,258.33,254.33
725.0,247.77,18.75,8,249.33,245.0,241.75,239.75,243.75,254.0,258.5,250.11
730.0,248.0,17.5,8,248.0,245.0,242.5,239.5,244.0,254.5,257.0,253.5
735.0,247.78,19.75,8,248.5,244.0,242.0,238.75,244.25,253.75,258.5,252.5
740.0,247.41,18.5,8,248.5,243.25,241.0,238.5,244.5,253.0,257.0,253.5
745.0,248.08,18.75,8,248.25,244.33,242.0,239.5,247.5,252.33,258.25,252.5
750.0,248.52,18.42,8,248.0,247.33,243.0,239.33,247.71,254.0,257.75,251.0
755.0,248.15,18.67,8,247.25,245.75,242.0,238.67,244.0,255.57,257.33,254.67
760.0,247.38,17.5,8,247.5,244.5,241.5,239.5,243.5,253.5,257.0,252.0
765.0,247.48,19.75,8,247.5,246.33,241.75,238.25,244.25,253.5,258.0,250.29
770.0,247.71,18.5,8,247.67,245.0,241.5,239.5,244.5,253.0,258.0,252.5
775.0,247.26,16.67,8,247.5,243.6,241.67,240.33,242.0,254.0,257.0,252.0
780.0,247.59,18.0,8,247.5,243.4,242.33,238.5,244.0,254.5,256.5,254.0
785.0,248.62,17.5,8,249.0,245.0,241.0,240.5,248.0,254.0,258.0,253.5
790.0,248.29,17.5,8,247.0,245.25,241.75,240.5,249.2,252.33,258.0,252.25
795.0,247.92,20.0,8,248.5,245.5,241.5,238.5,246.0,252.33,258.5,252.5
800.0,247.75,17.75,8,248.67,245.67,241.0,239.25,244.25,255.0,257.0,251.2
805.0,247.58,19.0,8,247.67,244.5,242.5,238.0,244.0,254.5,257.0,252.5
810.0,247.4,19.0,8,247.5,243.5,244.0,239.0,241.67,253.0,258.0,252.5
815.0,247.91,19.33,8,249.0,244.25,242.33,238.67,244.5,253.5,258.0,253.0
820.0,247.44,19.5,8,247.75,245.25,240.75,240.5,238.5,255.75,258.0,253.0
825.0,248.51,18.5,8,248.5,245.0,242.0,240.0,243.5,257.6,258.5,253.0
830.0,248.54,17.79,8,248.67,245.75,241.75,240.5,245.67,254.0,258.29,253.67
835.0,246.9,18.5,8,247.67,244.0,240.5,239.0,243.5,253.5,257.5,249.5
840.0,248.3,22.67,8,249.5,250.5,239.0,236.33,244.75,256.0,259.0,251.33
845.0,249.35,22.0,8,250.0,250.0,238.33,237.5,247.0,257.5,259.5,255.0
850.0,246.5,18.35,8,248.0,248.0,244.5,235.4,241.33,250.25,253.75,250.75
855.0,260.19,13.0,8,258.5,261.0,264.5,251.5,263.0,262.0,260.5,260.5
860.0,288.05,12.33,8,281.0,281.75,293.33,289.5,290.29,293.0,288.75,286.75
865.0,287.17,11.0,8,280.5,285.5,290.5,291.5,288.5,284.83,287.0,289.0
870.0,288.92,12.38,8,280.88,284.5,293.25,290.25,290.33,290.0,289.67,292.5
875.0,287.51,15.4,8,279.6,284.0,295.0,287.5,285.0,291.0,292.5,285.5
880.0,286.66,12.17,8,279.5,285.0,291.67,288.75,285.75,288.75,287.33,286.5
885.0,286.44,7.0,8,283.0,284.5,289.0,286.5,285.5,286.5,290.0,286.5
890.0,284.41,14.22,8,277.0,282.0,291.22,289.0,282.33,286.0,285.75,282.0
895.0,281.47,12.0,8,274.0,279.5,286.0,278.75,285.0,282.5,284.5,281.5
900.0,280.03,18.5,8,271.5,276.33,282.5,290.0,280.17,281.0,280.5,278.25
905.0,231.59,16.0,8,232.0,224.5,226.5,231.5,233.25,233.5,240.5,231.0
910.0,205.39,14.25,8,210.5,201.33,198.5,200.67,200.0,208.12,211.25,212.75
915.0,206.6,15.5,8,210.5,204.5,199.0,200.0,204.0,208.8,211.5,214.5
920.0,205.39,14.08,8,210.0,202.25,198.75,198.25,203.33,206.5,211.71,212.33
925.0,204.54,14.83,8,209.0,201.5,197.5,198.5,201.5,206.5,209.5,212.33
930.0,204.71,14.75,8,207.86,203.0,197.25,198.5,201.75,206.0,211.33,212.0
935.0,203.66,15.5,8,208.0,198.29,196.5,198.0,201.0,206.0,209.5,212.0
940.0,203.68,15.5,8,207.33,201.5,196.5,197.33,201.25,204.75,208.75,212.0
945.0,203.58,13.0,8,208.5,201.0,198.0,198.0,202.0,204.67,205.5,211.0
950.0,203.12,15.36,8,207.25,201.5,195.5,196.0,199.67,204.67,209.5,210.86
955.0,203.43,14.58,8,208.33,201.0,196.75,197.5,202.0,205.0,205.5,211.33
960.0,203.56,13.5,8,208.0,200.5,197.5,197.5,200.5,205.0,208.5,211.0
965.0,202.68,13.75,8,205.22,200.75,196.25,196.75,200.5,204.67,207.33,210.0
970.0,202.53,15.25,8,206.0,197.6,196.0,196.67,200.75,204.25,207.75,211.25
975.0,203.31,15.0,8,208.0,198.67,197.33,196.0,201.5,205.0,209.0,211.0
980.0,202.97,14.17,8,209.0,199.0,196.5,197.75,200.5,205.33,205.0,210.67
985.0,202.97,15.5,8,207.0,201.0,195.5,197.0,200.5,204.8,207.0,211.0
990.0,202.84,14.42,8,207.5,199.57,197.0,196.33,199.33,204.25,208.0,210.75
995.0,203.19,15.5,8,208.0,200.5,195.5,197.0,201.0,204.5,208.0,211.0
