delay_us,mean,spread,ntags,p0,p1,p2,p3,p4,p5,p6,p7
715.0,160.48,1.0,8,161.0,160.5,160.0,160.5,160.33,160.5,160.0,161.0
720.0,160.41,0.75,8,160.75,160.5,160.0,160.0,160.0,160.5,160.75,160.75
725.0,160.56,1.0,8,160.75,160.75,160.25,160.0,160.5,160.57,160.67,161.0
730.0,160.5,1.0,8,161.0,160.5,160.5,160.5,160.0,160.0,161.0,160.5
735.0,160.56,0.75,8,160.67,160.33,160.25,160.5,160.25,160.67,161.0,160.78
740.0,160.57,1.0,8,160.6,161.0,160.5,160.0,160.5,160.5,160.5,161.0
745.0,160.53,0.75,8,160.5,160.86,160.33,160.33,160.25,160.5,160.5,161.0
750.0,160.51,1.0,8,161.0,160.0,160.6,160.0,161.0,160.25,160.5,160.75
755.0,160.65,1.0,8,160.0,160.5,161.0,160.5,160.67,160.5,161.0,161.0
760.0,160.73,0.5,8,160.75,160.75,160.5,160.67,160.67,160.5,161.0,161.0
765.0,160.77,0.5,8,161.0,160.5,161.0,160.5,160.5,161.0,161.0,160.67
770.0,160.6,1.0,8,160.86,160.67,160.75,160.0,160.25,160.75,161.0,160.5
775.0,160.66,1.0,8,161.0,160.8,160.0,161.0,160.5,160.5,160.5,161.0
780.0,160.44,0.75,8,160.33,160.5,160.6,160.33,160.0,160.5,160.75,160.5
785.0,160.67,1.0,8,161.0,161.0,160.0,160.33,161.0,160.5,160.5,161.0
790.0,160.58,1.0,8,160.75,161.0,160.5,160.0,160.33,160.33,160.75,161.0
795.0,160.6,1.0,8,160.5,160.5,160.0,161.0,160.8,160.5,160.5,161.0
800.0,160.58,0.75,8,161.0,160.75,160.25,160.5,160.5,160.5,160.67,160.5
805.0,160.44,1.0,8,160.5,161.0,160.0,160.5,160.0,160.5,160.5,160.5
810.0,160.76,0.67,8,161.0,160.33,160.75,160.5,161.0,160.5,161.0,161.0
815.0,160.73,1.0,8,161.0,161.0,160.0,160.5,160.5,161.0,160.83,161.0
820.0,160.66,0.67,8,161.0,160.75,160.33,160.5,160.5,160.5,160.67,161.0
825.0,160.65,0.5,8,160.5,160.67,160.5,160.5,160.5,160.5,161.0,161.0
830.0,160.52,1.0,8,160.0,161.0,160.25,160.67,160.0,160.75,160.75,160.75
835.0,160.19,1.0,8,161.0,160.0,160.0,160.0,160.0,160.0,160.0,160.5
840.0,160.67,1.0,8,160.5,161.0,161.0,160.33,160.0,160.5,161.0,161.0
845.0,160.57,0.67,8,161.0,160.33,160.5,160.5,160.5,160.5,160.5,160.75
850.0,160.82,0.5,8,161.0,161.0,160.5,160.5,160.6,161.0,161.0,161.0
855.0,160.71,0.5,8,160.75,160.5,160.67,160.5,161.0,160.5,160.75,161.0
860.0,160.69,1.0,8,161.0,160.5,160.5,160.0,160.5,161.0,161.0,161.0
865.0,160.64,1.0,8,161.0,160.25,160.0,160.33,160.5,161.0,161.0,161.0
870.0,160.66,0.5,8,161.0,160.5,161.0,160.5,160.5,160.5,160.75,160.5
875.0,160.74,0.5,8,160.67,161.0,160.5,160.75,160.5,160.5,161.0,161.0
880.0,160.6,1.0,8,160.8,160.5,160.5,160.0,160.0,161.0,161.0,161.0
885.0,160.69,0.67,8,161.0,160.6,160.67,160.33,160.75,160.5,161.0,160.67
890.0,160.57,1.0,8,160.5,161.0,160.6,160.0,160.5,160.5,160.5,161.0
895.0,160.64,0.67,8,161.0,160.5,160.5,160.5,160.33,160.75,160.75,160.75
900.0,160.75,0.5,8,160.5,161.0,160.5,160.5,160.5,161.0,161.0,161.0
905.0,160.61,0.25,8,160.75,160.5,160.67,160.5,160.5,160.75,160.5,160.75
910.0,160.56,1.0,8,160.5,160.75,160.5,160.0,160.4,160.67,161.0,160.67
915.0,160.56,1.0,8,161.0,160.5,160.5,160.5,160.0,160.33,160.67,161.0
920.0,160.54,1.0,8,160.38,160.67,160.0,160.5,160.25,160.5,161.0,161.0
925.0,160.48,1.0,8,160.33,160.5,160.0,161.0,160.0,160.5,160.5,161.0
930.0,160.44,0.75,8,160.5,160.33,160.0,160.25,160.5,160.75,160.67,160.5
935.0,160.46,0.75,8,160.5,160.71,160.33,160.67,160.0,160.0,160.75,160.75
940.0,160.52,1.0,8,160.5,160.67,160.0,160.0,160.0,161.0,161.0,161.0
945.0,160.41,1.0,8,160.25,160.0,160.33,160.0,160.0,160.67,161.0,161.0
950.0,160.29,0.5,8,160.5,160.5,160.0,160.0,160.0,160.33,160.5,160.5
955.0,160.48,1.0,8,161.0,160.5,160.0,160.0,160.5,160.5,160.33,161.0
960.0,160.23,1.0,8,160.0,160.0,160.25,160.25,160.0,160.33,160.0,161.0
965.0,160.22,0.75,8,160.0,160.0,160.0,160.0,160.25,160.25,160.75,160.5
970.0,160.25,0.67,8,160.33,160.67,160.0,160.0,160.0,160.0,160.5,160.5
975.0,160.28,0.5,8,160.5,160.0,160.0,160.25,160.5,160.25,160.25,160.5
980.0,160.19,0.5,8,160.5,160.0,160.0,160.0,160.0,160.0,160.5,160.5
985.0,160.23,0.67,8,160.25,160.0,160.25,160.0,160.0,160.67,160.33,160.33
990.0,160.22,1.0,8,160.0,160.0,160.0,160.0,160.25,160.0,160.5,161.0
995.0,160.31,0.75,8,160.75,160.25,160.0,160.0,160.0,160.33,160.5,160.62
